50995101,8
131478101,2
81532401,2
30624602,4
23431302,5
144835202,3
25960002,5
103971901,6
61134402,3
64708701,8
46466401,8
122717804,5
24764002,8
103108501,8
132086401,9
96563704,3
40434102,7
116844102,7
17221401,8
58993101,2
99609202,4
48279002,9
35582801,9
101601,6
72456501,9
99221203,4
123415305,9
95925701,3
28425001,6
148074007,2
49017501,2
60819905,8
125756401,8
105010302,1
133107505,5
2159805,6
50958502,3
102405603,2
63244704,1
78255801,8
63730403,2
31019302,7
130867703,7
128551505,1
46336202,9
45037803,5
58881201,3
99030503,1
17394901,5
109829501,7
113522001,4
74890103,8
72706301,0
14740703,1
113528701,9
130224004,4
119699801,9
92726603,5
86341301,5
52417401,1
111333101,2
50215601,6
42339802,0
60432603,4
65039001,1
15533602,2
92503501,0
108571601,1
29736801,9
6617002,9
81352801,8
108247003,8
18464103,1
98410108,3
33088703,4
68401003,7
16389301,8
76299902,0
46379105,0
120301401,3
60623101,3
8315205,1
96998903,1
69064101,4
34818803,4
76967401,5
113621204,2
109569301,6
19207801,6
113391902,1
49819601,2
11275402,3
103905001,5
28540403,8
92932501,0
33317301,9
103285903,5
67437503,6
148838303,4
76231401,0
22088302,0
126246901,4
20533802,2
33487601,9
50062301,3
115484801,7
139818603,9
58569001,9
96306601,4
113902401,7
39043503,3
135158501,5
95870602,5
71937101,5
81240001,0
57384405,4
123555905,4
111399702,4
95295703,1
96361201,0
132873403,8
120966302,9
24138101,1
131544102,8
91158801,7
138135702,3
138003601,4
43333404,7
130541101,9
27376501,7
24616903,2
36046903,3
87540402,0
2508104,9
32814301,2
61424603,1
16117603,2
96919303,2
130756803,7
12480501,8
106047001,1
142328502,7
62703902,3
619701,4
126023601,8
20040701,2
123668504,4
77550303,0
107603902,2
67027803,6
90903501,0
61439002,3
111366603,5
114158003,1
115904401,7
85806001,9
20384002,9
26030102,2
149069101,7
122015904,0
30180803,6
115386102,6
40592202,6
95613504,3
96143703,3
19655602,2
32961201,7
92361201,8
110312301,4
53412701,6
103955902,9
69830301,7
127038401,9
6720201,8
8987401,6
41341102,9
9083103,7
28880302,1
28310501,3
135488301,0
79992601,3
87610801,7
134907804,4
70058005,6
3546002,2
112897301,5
58039002,8
42802902,1
29224202,5
132789202,0
148608204,6
28816301,4
43361101,6
55106504,4
22591403,0
86716001,1
138361802,9
58163701,4
55883002,4
77359102,8
62484402,8
103381404,1
74295802,7
40260901,4
59918705,8
77488601,6
53624502,1
378702,9
85809601,9
146082002,0
104718001,4
23966601,0
2767403,2
37921703,4
39113301,2
147669801,7
127213602,8
1191601,1
62207602,3
5375902,1
45918601,4
134633901,3
50525002,8
49166801,0
108753001,3
51003902,0
135273803,0
145762304,5
59341401,3
11468504,4
13089201,8
51641904,4
72978203,2
85616502,8
132535002,6
113185702,0
146632102,4
74487601,3
2589703,5
59146701,2
65847801,3
106916503,2
67074601,7
9188801,4
98827601,3
17354001,3
48070702,5
87423805,6
87572601,5
22348102,4
36365903,3
113613001,8
108030801,7
137137501,2
41405802,9
129871706,5
81343002,5
137511801,5
105830601,3
136498101,5
56132601,2
22404402,1
87555301,5
68523501,8
5413401,5
17789904,9
25495901,6
79537102,5
97833201,9
42501201,8
126616203,2
67455002,5
148187602,6
45536902,1
63153305,6
57232301,6
54438002,7
94203201,5
15165402,8
132220301,2
52989301,3
70489002,3
51076702,3
61408401,0
86319305,7
49088802,8
88642105,2
8799102,8
81116001,3
135703102,6
54019303,2
127036001,4
7185903,0
109895502,1
52824101,8
5781601,4
16680601,5
1244302,4
5483502,2
42538801,2
113161303,4
58545202,9
41161901,9
75295801,4
29224204,0
5825502,2
35280903,9
52468202,1
131244601,1
46510102,5
77197402,8
